EmployerName,WageRank,Year,Position,uni_rank,wage_group,uni_group
"University of California, Los Angeles",144.5,2020,Asst Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",403.0,2020,Asst Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, Riverside",412.0,2020,Asst Prof-Ay-B/E/E,7.0,4.0,3.0
"University of California, San Diego",290.0,2020,Asst Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Barbara",228.0,2020,Asst Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Cruz",375.5,2020,Asst Prof-Ay-B/E/E,6.0,3.0,3.0
"University of California, Berkeley",163.5,2019,Asst Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Davis",324.0,2019,Asst Prof-Ay-B/E/E,4.0,3.0,2.0
"University of California, Irvine",302.0,2019,Asst Prof-Ay-B/E/E,3.0,2.0,1.0
"University of California, Los Angeles",153.0,2019,Asst Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",384.0,2019,Asst Prof-Ay-B/E/E,8.0,4.0,4.0
"University of California, Riverside",363.0,2019,Asst Prof-Ay-B/E/E,7.0,3.0,3.0
"University of California, San Diego",238.0,2019,Asst Prof-Ay-B/E/E,5.0,1.0,2.0
"University of California, Santa Barbara",219.0,2019,Asst Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Cruz",319.0,2019,Asst Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, Berkeley",139.0,2018,Asst Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Davis",257.0,2018,Asst Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Irvine",328.5,2018,Asst Prof-Ay-B/E/E,4.0,3.0,2.0
"University of California, Los Angeles",139.0,2018,Asst Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Merced",336.0,2018,Asst Prof-Ay-B/E/E,7.0,4.0,3.0
"University of California, Riverside",329.5,2018,Asst Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",191.0,2018,Asst Prof-Ay-B/E/E,3.0,1.0,1.0
"University of California, Santa Barbara",221.0,2018,Asst Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Cruz",269.0,2018,Asst Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, Berkeley",141.0,2017,Asst Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",304.0,2017,Asst Prof-Ay-B/E/E,5.0,3.0,2.0
"University of California, Irvine",200.0,2017,Asst Prof-Ay-B/E/E,3.0,1.0,1.0
"University of California, Los Angeles",115.0,2017,Asst Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",336.0,2017,Asst Prof-Ay-B/E/E,7.0,4.0,3.0
"University of California, Riverside",278.5,2017,Asst Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",207.0,2017,Asst Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Barbara",218.0,2017,Asst Prof-Ay-B/E/E,2.0,2.0,1.0
"University of California, Santa Cruz",263.5,2017,Asst Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, Berkeley",86.0,2016,Asst Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",290.5,2016,Asst Prof-Ay-B/E/E,5.0,4.0,2.0
"University of California, Irvine",193.0,2016,Asst Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Los Angeles",127.5,2016,Asst Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",271.5,2016,Asst Prof-Ay-B/E/E,7.0,3.0,3.0
"University of California, Riverside",248.5,2016,Asst Prof-Ay-B/E/E,8.0,2.0,4.0
"University of California, San Diego",162.0,2016,Asst Prof-Ay-B/E/E,3.0,1.0,1.0
"University of California, Santa Barbara",221.0,2016,Asst Prof-Ay-B/E/E,2.0,2.0,1.0
"University of California, Santa Cruz",269.5,2016,Asst Prof-Ay-B/E/E,6.0,3.0,3.0
"University of California, Berkeley",102.0,2015,Asst Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",250.0,2015,Asst Prof-Ay-B/E/E,3.0,4.0,1.0
"University of California, Irvine",184.0,2015,Asst Prof-Ay-B/E/E,5.0,2.0,2.0
"University of California, Los Angeles",131.0,2015,Asst Prof-Ay-B/E/E,1.0,0.0,0.0
"University of California, Merced",237.5,2015,Asst Prof-Ay-B/E/E,7.0,3.0,3.0
"University of California, Riverside",230.5,2015,Asst Prof-Ay-B/E/E,8.0,3.0,4.0
"University of California, San Diego",165.0,2015,Asst Prof-Ay-B/E/E,2.0,1.0,1.0
"University of California, Santa Barbara",179.5,2015,Asst Prof-Ay-B/E/E,4.0,1.0,2.0
"University of California, Santa Cruz",219.0,2015,Asst Prof-Ay-B/E/E,6.0,2.0,3.0
"University of California, Berkeley",75.0,2014,Asst Prof-Ay-B/E/E,0.0,0.0,0.0
"University of California, Davis",227.0,2014,Asst Prof-Ay-B/E/E,3.0,3.0,1.0
"University of California, Irvine",158.0,2014,Asst Prof-Ay-B/E/E,5.0,1.0,2.0
"University of California, Los Angeles",126.0,2014,Asst Prof-Ay-B/E/E,1.0,0.0,0.0
